npdes_id,frs_id,city,state,zip,watershed_,latitude,longitude,facility_t,major_mino,cso_outfal,median_hou,poverty_ra,white_alon,state_fips,city_name_,GISJOIN,INTPTLAT,INTPTLON,good_LAT,good_LON,lat_long_s,OBJECTID,STATE_2,STATE_FI_1,CD_2DIG,STATE_CODE,CLIMDIV,CD_NEW,FIPS_CD,NCDC_GEO_I,NAME,ST_ABBRV,SHAPE_AREA,SHAPE_LEN,fid,pctChg3day
WA0029289,"110015415914",BREMERTON,WA,98312-4735,"171100191000",47.544670000000004,-122.669906999999995,POTW,M,"15","52716",16.500000000000000,72.299999999999997,"53",bremerton,G53007695,47.539814000000000,-122.716984299999993,47.539814000000000,-122.716984299999993,NHGIS,"104",Washington,"53","4","45","4504","4","5304",14.000000000000000,E OLYMPIC CASCADE FOOTHILLS,WA,0.000000000000000,0.000000000000000,229,"24"
WA0037061,"110005311769",OLYMPIA,WA,98501-6911,"171100190503",47.051029999999997,-122.905670000000001,POTW,M,"3","59878",15.699999999999999,82.099999999999994,"53",olympia,G53051300,47.040604199999997,-122.895000499999995,47.040604199999997,-122.895000499999995,NHGIS,"104",Washington,"53","4","45","4504","4","5304",14.000000000000000,E OLYMPIC CASCADE FOOTHILLS,WA,0.000000000000000,0.000000000000000,229,"24"
WA0020257,"110012506216",ANACORTES,WA,"98221","171100020600",48.523059000000003,-122.608627999999996,POTW,M,"3","71844",8.800000000000002,91.700000000000003,"53",anacortes,G53001990,48.488724900000001,-122.623980000000003,48.488724900000001,-122.623980000000003,NHGIS,"105",Washington,"53","2","45","4502","2","5302",15.000000000000000,NE OLYMPIC SAN JUAN,WA,0.000000000000000,0.000000000000000,6,"18"
WA0023744,"110054924953",BELLINGHAM,WA,"98225","171100040700",48.721666999999997,-122.514443999999997,POTW,M,"2","53396",20.800000000000001,83.200000000000003,"53",bellingham,G53005280,48.753442100000001,-122.470178599999997,48.753442100000001,-122.470178599999997,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,,
WA0024490,"110016662011",EVERETT,WA,"98201","171100110203",47.991379999999999,-122.178880000000007,POTW,M,"14","60759",12.800000000000001,72.500000000000000,"53",everett,G53022640,47.956452100000000,-122.191348700000006,47.956452100000000,-122.191348700000006,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,27,"22"
WA0024074,"110000569484",MOUNT VERNON,WA,98273-6511,"171100070203",48.415832999999999,-122.348611000000005,POTW,M,"2","62056",14.300000000000001,70.299999999999997,"53",mount vernon,G53047560,48.417071300000003,-122.311831799999993,48.417071300000003,-122.311831799999993,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,6,"18"
WA0023973,"110054925033",PORT ANGELES,WA,98362-0217,"171100200405",48.120860000000000,-123.402209999999997,POTW,M,"4","47256",17.399999999999999,86.900000000000006,"53",port angeles,G53055365,48.119235699999997,-123.448012700000007,48.119235699999997,-123.448012700000007,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,11,"20"
WA0031682,"110054906143",SEATTLE,WA,98104-2311,"171100191200",47.663611000000003,-122.448888999999994,POTW,N,"132","92263",11.000000000000000,67.299999999999997,"53",seattle,G53063000,47.619348899999999,-122.351470599999999,47.619348899999999,-122.351470599999999,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,229,"24"
WA0029548,"110015417770",SNOHOMISH,WA,98290-2994,"171100110203",47.915556000000002,-122.112778000000006,POTW,N,"2","71800",8.900000000000000,88.400000000000006,"53",snohomish,G53065170,47.928866300000003,-122.092684300000002,47.928866300000003,-122.092684300000002,NHGIS,"106",Washington,"53","3","45","4503","3","5303",16.000000000000000,PUGET SOUND LOWLANDS,WA,0.000000000000000,0.000000000000000,50,"21"
WA0024473,"110000562347",SPOKANE,WA,99205-3939,"170103070105",47.693415999999999,-117.472386999999998,POTW,M,"24","50306",17.300000000000001,84.700000000000003,"53",spokane,G53067000,47.666934699999999,-117.433322000000004,47.666934699999999,-117.433322000000004,NHGIS,"111",Washington,"53","9","45","4509","9","5309",21.000000000000000,NORTHEASTERN,WA,0.000000000000000,0.000000000000000,449,"-22"
DE0020320,"110006523770",WILMINGTON,DE,"19809","20402040000",39.729540000000000,-75.504334000000000,POTW,M,"40","45032",26.000000000000000,35.600000000000001,"10",wilmington,G10077580,39.735650800000002,-75.532104099999998,39.735650800000002,-75.532104099999998,NHGIS,"138",Delaware,"10","1","7","701","1","1001",48.000000000000000,NORTHERN,DE,0.000000000000000,0.000000000000000,6537,"59"
GA0036854,"110009140116",ALBANY,GA,"0","31300080102",31.564388999999998,-84.145222000000004,POTW,N,"8","36615",30.800000000000001,22.100000000000001,"13",albany,G13001052,31.578116699999999,-84.176224199999993,31.578116699999999,-84.176224199999993,NHGIS,"143",Georgia,"13","7","9","907","7","1307",53.000000000000000,SOUTHWEST,GA,0.000000000000000,0.000000000000000,12655,"20"
GA0036838,"110010039804",COLUMBUS,GA,31902-1600,"31300030104",32.445889000000001,-84.982028000000000,POTW,N,"2","46408",20.699999999999999,43.299999999999997,"13",columbus,G13019000,32.510196999999998,-84.874945999999994,32.510196999999998,-84.874945999999994,NHGIS,"145",Georgia,"13","4","9","904","4","1304",55.000000000000000,WEST CENTRAL,GA,0.000000000000000,0.000000000000000,12169,"54"
GA0038644,"110020834533",ATLANTA,GA,"30305","31300011204",33.800057000000002,-84.396569999999997,POTW,N,"4","59948",20.800000000000001,40.899999999999999,"13",atlanta,G13004000,33.762908799999998,-84.422674499999999,33.762908799999998,-84.422674499999999,NHGIS,"149",Georgia,"13","2","9","902","2","1302",59.000000000000000,NORTH CENTRAL,GA,0.000000000000000,0.000000000000000,11450,"34"
IL0033120,"110009987461",BUREAU JUNCTION,IL,61315-0140,"71300010703",41.286667000000001,-89.363332999999997,POTW,N,"1","53750",16.899999999999999,99.599999999999994,"17",bureau junction,G17009681,41.287804199999997,-89.364517000000006,41.287804199999997,-89.364517000000006,NHGIS,"155",Illinois,"17","1","11","1101","1","1701",65.000000000000000,NORTHWEST,IL,0.000000000000000,0.000000000000000,6495,"25"
IL0026450,"110000736534",DIXON,IL,"61021","70900050606",41.835870000000000,-89.510249999999999,POTW,M,"4","47171",14.500000000000000,83.900000000000006,"17",dixon,G17020162,41.844455699999997,-89.479043799999999,41.844455699999997,-89.479043799999999,NHGIS,"155",Illinois,"17","1","11","1101","1","1701",65.000000000000000,NORTHWEST,IL,0.000000000000000,0.000000000000000,5964,"9"
IL0022331,"110006770253",GRANVILLE,IL,61326-9333,"71300010804",41.260899999999999,-89.228099999999998,POTW,N,"4","60536",9.699999999999999,96.700000000000003,"17",granville,G17031017,41.263678599999999,-89.230038399999998,41.263678599999999,-89.230038399999998,NHGIS,"155",Illinois,"17","1","11","1101","1","1701",65.000000000000000,NORTHWEST,IL,0.000000000000000,0.000000000000000,6496,"26"
IL0020184,"110009989469",OREGON,IL,"61061","70900050408",42.005780000000001,-89.328059999999994,POTW,N,"3","51875",14.500000000000000,96.500000000000000,"17",oregon,G17056484,42.012703000000002,-89.335773099999997,42.012703000000002,-89.335773099999997,NHGIS,"155",Illinois,"17","1","11","1101","1","1701",65.000000000000000,NORTHWEST,IL,0.000000000000000,0.000000000000000,5839,"6"
IL0043061,"110006679040",PROPHETSTOWN,IL,"61277","70900050804",41.675600000000003,-89.919399999999996,POTW,N,"2","49152",10.199999999999999,96.200000000000003,"17",prophetstown,G17061977,41.669655900000002,-89.934680499999999,41.669655900000002,-89.934680499999999,NHGIS,"155",Illinois,"17","1","11","1101","1","1701",65.000000000000000,NORTHWEST,IL,0.000000000000000,0.000000000000000,6107,"14"
